0112 0e
0117 02
0168 03
016f 03
0193 ff
0194 b0
01ae 00
01cd 7f
01cf f3
01ee 0f
0317 02
0368 03
036f 03
0370 60
03ae 40
03b6 00
03cd 00
03cf 1b
03e7 80
03f3 07
050f 03
0510 e0
0517 06
0570 60
0571 7f
0576 70
0587 81
0588 80
0591 60
05ae 40
05b4 03
05b6 00
05cc 09
05e9 ff
05ea ff
070f 03
0710 e0
074f 03
0772 cc
0776 70
0787 81
0788 80
0791 60
07cc 09
07ce 00
07cf 18
07d0 66
07d4 03
07f0 8e
07f1 71
07f2 fa
0910 8c
092e 00
092f 58
0930 0c
0931 00
0946 30
096e 02
096f 60
0972 0f
09ac 68
09ad 04
09ae 02
09b1 c1
09b6 00
09c9 e0
09d1 03
09d2 18
09d5 18
09d7 00
0b13 60
0b2e 01
0b4a 01
0b4b 90
0b6b 98
0ba5 1f
0ba8 e0
0baf 70
0bb0 0c
0bd3 40
0bd9 7d
0bed 03
0bf3 01
0bf4 00
0d0d 80
0d11 48
0d13 60
0d30 0c
0d35 30
0d48 03
0d4a 01
0d4b fe
0d4f 68
0d51 0c
0d91 fc
0da9 c0
0daf 70
0dc8 00
0dcb e8
0dcf 7e
0dd3 03
0de8 06
0dea 60
0f0e 00
0f0f 18
0f10 0c
0f13 60
0f30 0b
0f35 30
0f48 03
0f4e 02
0f4f 68
0f53 37
0f54 c3
0f8c 63
0fa9 67
0fb2 18
0fb5 18
0fd1 07
0fd3 31
0fea 78
0fef 83
110e 1e
112d 00
114c 00
114d 1f
1154 38
116d 0c
11aa c0
11ad 83
11d1 c0
130a 2e
130b 13
1311 8e
132b f9
132d 00
132f 03
1331 62
138d 00
13ad 03
1509 f0
150e 1e
152a 40
152b 1b
152c d0
152f 03
1532 02
154d 0c
158b c1
15cc 01
15cd 81
170c 16
172a 40
172d 86
172f 87
1731 02
1734 00
1750 00
1775 04
178b c1
17d2 20
