0112 8e
0171 e0
0183 80
018e 00
0196 30
01b0 66
01c6 03
01ca 00
01cb 00
01cd 00
01ce 7f
01ef 1f
01f4 00
0312 80
0352 40
036e 37
0371 60
0394 00
03b0 66
03b2 38
03c6 01
03c7 00
03ca 00
03cb 00
03ef 19
03f0 ee
03f4 00
052f 03
0576 10
05ac f8
05b2 38
05b4 01
05c7 00
05d2 f8
05ea f0
05f1 07
05f2 e2
0728 06
0730 60
0751 00
0762 01
0763 80
0767 07
076e 00
0775 01
0776 b0
07ae f0
07d2 1f
07d3 f0
07e9 c0
07ef fc
07f0 0e
07f2 02
07f4 06
0909 c0
090b e0
092f 18
094e 1e
094f 63
098b c0
0994 18
09ad 00
09b3 00
09b5 08
09b8 00
09cd 06
09ce 01
09cf f0
09d1 00
09d9 00
09eb 08
09f1 02
09f2 03
0b0b e0
0b15 10
0b2f 18
0b33 6f
0b52 19
0b53 e3
0b87 03
0b88 c0
0b8b c0
0b8f 70
0bac 40
0bad 00
0bb3 00
0bb8 00
0bc8 0c
0bd9 03
0be9 e0
0bf0 ec
0bf1 02
0d28 02
0d2b b0
0d2f 58
0d50 08
0d51 00
0d71 0c
0d8b c0
0d95 0c
0dab 50
0dc8 0c
0dca 40
0deb 7c
0def 67
0f0b f0
0f25 00
0f2f 6e
0f51 00
0f89 f0
0f8b d0
0f8f 70
0f90 04
0f95 08
0fa3 08
0fb1 00
0fb9 04
0fcc 24
0fd2 00
0fd9 1f
0fda f8
0feb 0c
0fec 3e
0fed 07
0fef 63
0ff1 1f
0ff6 00
0ff7 30
1108 26
114d 1e
1153 00
11ad 03
11c9 80
11f0 c0
1307 81
130d 3f
1312 82
1313 03
1332 20
1353 02
1354 00
1355 00
1395 40
13cc 03
13f0 40
150a c0
150c 36
150d 30
1512 9a
152d 08
154a 70
154b 1e
154c 1f
154f f3
156e e0
1572 30
1595 40
15a9 e0
15ed 80
1712 1e
172b 08
172c 1f
174b c3
174c 00
174d 0c
17a9 80
17d0 60
17f2 60
