01f1 36
038f 03
0390 f8
03af 01
03b0 80
05af 01
05b0 80
05b2 e0
05d5 fc
05ed 0c
07ce 70
07d1 32
07ed 1c
07ef 0f
090d 1c
094d dc
096c ef
0972 ff
0988 06
0990 fe
09ac 6c
09d3 82
0b14 04
0b30 6e
0b32 c2
0b4d ff
0b6d fd
0b92 01
0b93 80
0b95 1f
0b96 80
0bae ff
0bb1 ff
0bec 76
0d10 ff
0d11 f7
0d14 04
0d30 6c
0d32 c2
0d4b ff
0d8f ff
0d92 0f
0daf fb
0db0 fc
0db4 1f
0db5 e0
0dec fe
0df2 09
0f8b 0c
0f8c cf
0f8e 9b
0f94 f0
0fa9 78
0fb3 02
0fed 1f
1132 01
114e 82
114f 04
116c 01
130a 02
130e 9f
1310 e0
1332 03
150a 02
150d 09
150e 8e
1511 6c
170d 09
1711 2c
1715 10
172e 86
172f 04
174e 02
