010c 02
0115 03
0116 fe
0146 10
014f 00
0150 00
016d 7f
016f 30
0170 1e
0171 01
0188 00
0192 13
01af 30
0330 7f
0337 00
0346 18
034f 20
0374 01
0375 80
037d 03
037e ff
0388 80
0389 00
03af 30
03ce 00
0537 00
054f 30
056c 30
0572 d0
0574 01
0575 80
0591 01
0592 30
0596 00
05a8 00
05ce 00
05e4 18
05e5 00
05ec 00
05f0 00
0712 98
072f 00
0730 00
073d ff
0791 01
0796 00
07a8 00
07b9 fc
07cc 28
07ec 18
07f0 00
07f5 19
0907 00
090f 00
0912 e0
0915 1d
092f 3b
0930 ff
0941 0c
0946 60
0952 10
0953 00
0972 03
0989 78
098c c1
0993 10
0997 80
09a6 08
09b2 10
09b6 3f
09b7 f0
09cc 60
09cf e0
09e5 07
0b07 00
0b08 01
0b09 c0
0b0f 30
0b34 00
0b41 0c
0b4f 3f
0b6b 00
0b6c c3
0b89 38
0b8a 7c
0bcc 60
0bcf 60
0beb 70
0d08 01
0d09 c0
0d34 00
0d4b f8
0d53 08
0d55 46
0d89 f8
0da6 00
0da7 00
0daf 30
0db0 38
0dcc 00
0dd3 00
0f10 00
0f12 03
0f26 60
0f32 10
0f55 06
0f6c c1
0f6e 00
0f72 00
0f73 10
0f89 b0
0f92 10
0faf 3c
0fb0 08
0fcc 06
0fd3 00
0fd5 00
0fef 64
110b 00
110c 30
1110 0d
114e 08
1150 30
1170 01
1186 c0
118b 00
11ac 81
11b3 04
11cc 70
11d0 70
11d2 00
11f7 01
11f8 c0
1308 fc
130b 00
130f 60
1332 7f
1349 60
1367 10
136d 00
1374 e0
1376 00
13b1 00
13b2 00
13cd 82
1508 00
150b 00
150f 7e
152b f8
1567 10
156d 00
156f 20
1574 0f
158a 00
158b 01
15a5 70
15ab 00
15b1 04
15cd 82
15ce 00
170f 60
1766 c0
176b 00
178e 3c
17a4 07
17b2 00
17ed 82
